name,industry,subindustry,industries/0,industries/1,tags/0,tags/1,highlight_black,highlight_latinx,highlight_women,batch_season,batch_year,first_loc,region,top_acq_pub
Wattvision,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Real Estate and Construction,Housing and Real Estate,Sustainability,,FALSE,FALSE,FALSE,W,9,Remote,United States of America,0
Cloudkick,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,,,FALSE,FALSE,FALSE,W,9,"San Francisco, CA, USA",United States of America,1
Echodio,Consumer,Consumer -> Content,Consumer,Content,Music,,FALSE,FALSE,FALSE,W,9,"San Francisco, CA, USA",United States of America,1
reMail,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Email,,FALSE,FALSE,FALSE,W,9,"CA, USA",United States of America,1
Divvyshot,Consumer,Consumer -> Social,Consumer,Social,,,FALSE,FALSE,FALSE,W,9,"San Francisco, CA, USA",United States of America,1
Heyzap,Consumer,Consumer -> Gaming,Consumer,Gaming,Advertising,,FALSE,FALSE,FALSE,W,9,"San Francisco, CA, USA",United States of America,1
PetaSales,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,,,FALSE,FALSE,FALSE,W,9,"San Francisco, CA, USA",United States of America,0
Voxli,Consumer,Consumer -> Gaming,Consumer,Gaming,,,FALSE,FALSE,FALSE,W,9,"CA, USA",United States of America,0
Nambii,Consumer,Consumer -> Social,Consumer,Social,,,FALSE,FALSE,FALSE,W,9,"San Francisco, CA, USA",United States of America,0
Picurio,Consumer,Consumer -> Social,Consumer,Social,,,FALSE,FALSE,FALSE,W,9,"Mountain View, CA, USA",United States of America,0
Spaces Life,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Real Estate and Construction,Housing and Real Estate,,,FALSE,FALSE,FALSE,W,9,,Unspecified,0
Foodoro,Consumer,Consumer -> Food and Beverage,Consumer,Food and Beverage,,,FALSE,FALSE,FALSE,W,9,"San Francisco, CA, USA",United States of America,0
Skysheet,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Productivity,,FALSE,FALSE,FALSE,W,9,,Unspecified,0
Recurious,Consumer,Consumer -> Social,Consumer,Social,,,FALSE,FALSE,FALSE,W,9,"Mountain View, CA, USA",United States of America,0
Ginkgo Bioworks,Healthcare,Healthcare -> Industrial Bio,Healthcare,Industrial Bio,Synthetic Biology,Automation,FALSE,FALSE,TRUE,S,14,"Boston, MA, USA",United States of America,1
Rigetti Computing,Industrials,Industrials -> Manufacturing and Robotics,Industrials,Manufacturing and Robotics,Quantum Computing,,FALSE,FALSE,FALSE,S,14,"Berkeley, CA, USA",United States of America,1
Checkr,B2B Software and Services,B2B Software and Services -> Human Resources,B2B Software and Services,Human Resources,Security,Compliance,FALSE,FALSE,FALSE,S,14,"San Francisco, CA, USA",United States of America,1
Helion Energy,Industrials,Industrials -> Energy,Industrials,Energy,Fusion Energy,Climate,FALSE,TRUE,FALSE,S,14,"Everett, WA, USA",United States of America,1
