name,subindustry,batch,Location1,Year,status,success
Callisto,Consumer -> Home and Personal,W18,"San Francisco, CA, USA",18,Active,Ongoing
Jido Maps,B2B Software and Services -> Infrastructure,W18,Remote,18,Active,Ongoing
Ben,Financial Technology -> Banking and Exchange,W18,"San Diego, CA, USA",18,Active,Ongoing
ZBiotics,Healthcare -> Consumer Health and Wellness,W18,"San Francisco, CA, USA",18,Active,Ongoing
ArchForm,Healthcare -> Medical Devices,W18,"Sunnyvale, CA, USA",18,Active,Ongoing
AlgoSurg Inc,Healthcare -> Healthcare Services,W18,"MH, India",18,Active,Ongoing
OSIMple,Real Estate and Construction -> Construction,W18,"Kitchener, ON, Canada",18,Active,Ongoing
YouTeam,B2B Software and Services -> Recruiting and Talent,W18,"Mountain View, CA, USA",18,Active,Ongoing
Orangewood Labs,Industrials -> Manufacturing and Robotics,W18,"San Francisco, CA, USA",18,Active,Ongoing
Mojo,Consumer -> Virtual and Augmented Reality,W18,"Paris, ÃŽle-de-France, France",18,Active,Ongoing
SharpestMinds,B2B Software and Services -> Recruiting and Talent,W18,Remote,18,Active,Ongoing
Gainful,Consumer -> Food and Beverage,W18,"New York, NY, USA",18,Active,Ongoing
Cognition IP,B2B Software and Services -> Legal,W18,Remote,18,Active,Ongoing
Players' Lounge,Consumer -> Gaming,W18,"NY, USA",18,Active,Ongoing
Psylaris,Healthcare -> Healthcare Services,W18,"Maastricht, LI, Netherlands",18,Active,Ongoing
Juni,Education,W18,"San Francisco, CA, USA",18,Active,Ongoing
Universe,Consumer -> Content,W18,Remote,18,Active,Ongoing
Podcast App,Consumer -> Content,W18,Remote,18,Active,Ongoing
Supermedium,Consumer -> Virtual and Augmented Reality,W18,"San Francisco, CA, USA",18,Active,Ongoing
Tributi,Consumer -> Home and Personal,W18,"Antioquia, Colombia",18,Active,Ongoing
Viaopt,B2B Software and Services -> Supply Chain and Logistics,W18,"San Francisco, CA, USA",18,Active,Ongoing
Sourcify,B2B Software and Services -> Retail,W18,Remote,18,Active,Ongoing
Plexus,Consumer -> Virtual and Augmented Reality,W18,"London, England, United Kingdom",18,Active,Ongoing
Correlia Biosystems,Healthcare -> Diagnostics,W18,"Berkeley, CA, USA",18,Active,Ongoing
BioRender,Healthcare -> Healthcare IT,W18,Remote,18,Active,Ongoing
Evry Health,Healthcare -> Healthcare Services,W18,"Dallas, TX, USA",18,Active,Ongoing
tEQuitable,B2B Software and Services -> Human Resources,W18,"Oakland, CA, USA",18,Active,Ongoing
EnvKey,"B2B Software and Services -> Engineering, Product and Design",W18,Remote,18,Active,Ongoing
Meitre,B2B Software and Services -> Retail,W18,Remote,18,Active,Ongoing
Draftbit,"B2B Software and Services -> Engineering, Product and Design",W18,"Chicago, IL, USA",18,Active,Ongoing
LUS Brands,Consumer -> Apparel and Cosmetics,W18,"Toronto, ON, Canada",18,Active,Ongoing
