name,industry,subindustry,industries/0,industries/1,tags/0,tags/1,highlight_black,highlight_latinx,highlight_women,batch_season,batch_year,first_loc,region,top_acq_pub
Armilla AI,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Artifical Intelligence,Regtech,FALSE,FALSE,FALSE,W,22,Remote,Canada,0
SnapTrade,Financial Technology,Financial Technology,Financial Technology,,API,Fintech,TRUE,TRUE,FALSE,W,22,"Fredericton, NB, Canada",Canada,0
Bunkyr,B2B Software and Services,B2B Software and Services -> Security,B2B Software and Services,Security,Crypto / Web3,Developer Tools,FALSE,FALSE,FALSE,W,22,"Denver, CO, USA",United States of America,0
Sophys Health,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Healthcare,SaaS,FALSE,FALSE,FALSE,W,22,"San Francisco, CA, USA",United States of America,0
Beam,B2B Software and Services,B2B Software and Services,B2B Software and Services,,Artifical Intelligence,Developer Tools,FALSE,FALSE,FALSE,W,22,"Cambridge, MA, USA",United States of America,0
Zorba,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Real Estate and Construction,Housing and Real Estate,Real Estate,Marketplace,FALSE,FALSE,FALSE,W,22,"Tel Aviv-Yafo, Tel Aviv District, Israel",Israel,0
91Squarefeet,B2B Software and Services,B2B Software and Services -> Retail,B2B Software and Services,Retail,Retail Tech,,FALSE,FALSE,FALSE,W,22,"Gurugram, HR, India",India,0
Azuki,Consumer,Consumer -> Content,Consumer,Content,Entertainment,Subscriptions,FALSE,FALSE,TRUE,W,22,Remote,United States of America,0
Mysterious,Financial Technology,Financial Technology,Financial Technology,,Social,Developer Tools,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Eto,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,AIOps,Data Engineering,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Stock Unlock,Financial Technology,Financial Technology,Financial Technology,,Fintech,Education,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Creizer,Financial Technology,Financial Technology -> Credit and Lending,Financial Technology,Credit and Lending,Fintech,E-commerce,FALSE,TRUE,FALSE,W,22,"Mexico City, CDMX, Mexico",Mexico,0
MosaicVoice,B2B Software and Services,B2B Software and Services -> Operations,B2B Software and Services,Operations,Artifical Intelligence,Call Center,FALSE,TRUE,FALSE,W,22,Remote,United States of America,0
Lightmeter,B2B Software and Services,B2B Software and Services -> Sales,B2B Software and Services,Sales,Email,Sales,FALSE,TRUE,TRUE,W,22,"London, England, United Kingdom",United Kingdom,0
Phase Biolabs,Industrials,Industrials -> Climate,Industrials,Climate,Climate,,FALSE,TRUE,FALSE,W,22,"Nottingham, England, United Kingdom",United Kingdom,0
Firezone,B2B Software and Services,B2B Software and Services -> Security,B2B Software and Services,Security,Open Source,B2B,FALSE,FALSE,FALSE,W,22,"Mountain View, CA, USA",United States of America,0
Agentnoon,B2B Software and Services,B2B Software and Services -> Human Resources,B2B Software and Services,Human Resources,,,FALSE,FALSE,FALSE,W,22,"Toronto, ON, Canada",Canada,0
